"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0I01826g",5,4,3,11,7,5,2,1,4,3,4,2,2
"CAGL0H01507g",2,1,1,0,1,0,5,2,3,0,3,1,0
"CAGL0G05742g",19,12,19,38,11,32,14,9,12,16,13,4,3
"CAGL0I09438g",49,73,63,36,61,38,82,49,86,18,35,38,37
"CAGL0B00286g",0,0,2,0,0,2,0,0,0,0,0,0,0
"CAGL0B00374g",0,0,0,0,0,1,0,0,0,0,0,0,0
"CAGL0B03899g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0B02761g",263,200,212,168,204,265,286,200,204,148,173,350,359
"CAGL0B01727g",3,1,4,5,2,4,5,3,5,3,4,7,1
"CAGL0B03179g",3,1,0,0,0,2,4,3,3,0,1,1,2
"CAGL0B02343g",41,36,46,36,21,16,46,28,41,17,20,32,24
"CAGL0B01771g",2,0,6,1,0,2,0,0,3,0,0,0,0
"CAGL0B03047g",2,2,6,1,2,1,3,2,1,1,2,3,5
"CAGL0B00308g",1,1,2,0,0,1,0,0,0,0,0,0,0
"CAGL0B01507g",0,0,1,0,1,0,0,0,0,0,0,1,0
"CAGL0B01589g",0,3,6,3,1,3,1,0,0,1,0,0,0
"CAGL0B04037g",0,1,0,0,1,1,0,0,0,1,0,0,0
"CAGL0B03465g",4,4,4,3,2,3,5,2,1,1,1,10,10
"CAGL0B01903g",2,4,5,2,4,5,1,3,1,1,3,8,9
"CAGL0B02233g",0,0,0,1,0,2,1,0,0,1,1,1,2
"CAGL0B00528g",1,0,3,3,1,4,2,0,1,1,1,1,0
"CAGL0B03267g",3,4,0,3,1,1,4,0,0,0,0,1,1
"CAGL0B02739g",1,0,2,0,1,2,0,0,0,1,0,1,0
"CAGL0B00616g",281,231,269,238,313,273,294,164,284,167,153,167,138
"CAGL0B01309r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0B04741g",1,1,0,0,1,0,2,0,0,0,0,1,0
"CAGL0B03795g",2,1,0,0,3,0,0,0,1,0,1,0,0
"CAGL0B00462g",17,12,13,6,18,6,21,17,9,10,6,7,6
"CAGL0B00836g",3,1,1,0,0,0,0,0,0,0,1,0,0
"CAGL0B01265g",10,8,8,4,4,7,8,6,7,4,3,1,7
"CAGL0B02541g",4,9,2,0,0,0,2,1,0,1,0,0,0
"CAGL0B04917g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0B02904g",2,3,2,3,3,1,4,1,0,1,3,0,3
"CAGL0B03113g",1,2,3,0,0,0,0,1,0,1,0,0,2
