"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0J03780g",1856,1763,2400,1504,1963,1768,2014,1160,2030,624,667,484,457
"CAGL0J09988g",196,179,218,117,279,223,172,120,140,94,113,112,119
"CAGL0J07964g",1005,762,1139,870,1081,1033,1183,784,1068,496,509,873,724
"CAGL0J03168g",1123,1068,1162,673,1103,936,1255,586,1015,374,372,1091,968
"CAGL0J00253g",1199,928,809,735,970,1098,1184,748,839,423,541,1198,1183
"CAGL0J11858g",2377,1964,3508,2130,3237,3228,2901,1640,2349,1585,1616,1477,1445
"CAGL0L02827g",526,619,253,238,593,580,601,330,253,124,122,1757,1626
"CAGL0L08114g",18203,13551,26850,19133,19942,19980,19713,12584,25254,11158,12646,180,177
"CAGL0L06336g",2,0,2,3,3,3,4,1,1,2,4,1,1
"CAGL0L06688g",815,649,936,604,843,743,820,512,769,293,306,632,565
